Text,Tint,Tref,Cooler,Resistor,Data,Hora
26.870001,46.374023,45.000000,0.000000,81.504883,2021/3/20, 22:37:23
26.879999,46.696289,45.000000,0.000000,76.585938,2021/3/20, 22:37:24
26.870001,46.696289,45.000000,0.000000,76.500977,2021/3/20, 22:37:25
26.879999,46.986328,45.000000,0.000000,71.614258,2021/3/20, 22:37:26
26.879999,46.986328,45.000000,0.000000,71.078125,2021/3/20, 22:37:27
26.870001,47.405273,45.000000,0.000000,64.483398,2021/3/20, 22:37:28
26.879999,47.405273,45.000000,0.000000,64.172852,2021/3/20, 22:37:29
26.879999,47.727539,45.000000,0.000000,58.222656,2021/3/20, 22:37:30
26.879999,47.727539,45.000000,0.000000,57.106445,2021/3/20, 22:37:31
26.889999,47.308594,45.000000,0.000000,58.987305,2021/3/20, 22:37:32
26.879999,47.308594,45.000000,0.000000,54.583984,2021/3/20, 22:37:33
26.879999,47.824219,45.000000,0.000000,46.603516,2021/3/20, 22:37:34
26.879999,47.824219,45.000000,0.000000,46.357422,2021/3/20, 22:37:35
26.879999,46.502930,45.000000,0.000000,58.067383,2021/3/20, 22:37:36
26.879999,46.502930,45.000000,0.000000,49.958008,2021/3/20, 22:37:37
26.879999,46.019531,45.000000,0.000000,53.772461,2021/3/20, 22:37:38
26.889999,46.019531,45.000000,0.000000,50.335938,2021/3/20, 22:37:39
26.870001,46.406250,45.000000,0.000000,45.062500,2021/3/20, 22:37:40
26.870001,46.406250,45.000000,0.000000,45.589844,2021/3/20, 22:37:41
26.879999,47.050781,45.000000,0.000000,37.093750,2021/3/20, 22:37:42
26.879999,47.050781,45.000000,0.000000,38.265625,2021/3/20, 22:37:43
26.879999,46.954102,45.000000,0.000000,37.278320,2021/3/20, 22:37:44
26.879999,46.954102,45.000000,0.000000,34.840820,2021/3/20, 22:37:45
26.879999,47.920898,45.000000,0.000000,22.251953,2021/3/20, 22:37:46
26.889999,47.920898,45.000000,0.000000,24.165039,2021/3/20, 22:37:47
26.889999,48.436523,45.000000,0.000000,15.572266,2021/3/20, 22:37:48
26.879999,48.436523,45.000000,0.000000,14.713867,2021/3/20, 22:37:49
26.879999,48.436523,45.000000,0.000000,11.277344,2021/3/20, 22:37:50
26.889999,47.888672,45.000000,0.000000,13.867188,2021/3/20, 22:37:51
26.889999,47.888672,45.000000,0.000000,8.239258,2021/3/20, 22:37:52
26.889999,48.210938,45.000000,0.000000,1.805664,2021/3/20, 22:37:53
26.889999,48.210938,45.000000,0.000000,0.206055,2021/3/20, 22:37:54
26.889999,48.823242,45.000000,0.000000,0.206055,2021/3/20, 22:37:55
26.889999,48.823242,45.000000,0.000000,0.206055,2021/3/20, 22:37:56
26.900000,49.532227,45.000000,0.000000,0.206055,2021/3/20, 22:37:57
26.889999,49.532227,45.000000,0.000000,0.206055,2021/3/20, 22:37:58
26.889999,49.757812,45.000000,0.000000,0.206055,2021/3/20, 22:37:59
26.889999,49.757812,45.000000,0.000000,0.206055,2021/3/20, 22:38:00
26.900000,50.144531,45.000000,42.766602,0.000000,2021/3/20, 22:38:01
26.900000,50.144531,45.000000,45.977539,0.000000,2021/3/20, 22:38:02
26.889999,49.854492,45.000000,47.931641,0.000000,2021/3/20, 22:38:03
26.900000,49.854492,45.000000,54.236328,0.000000,2021/3/20, 22:38:04
26.900000,49.500000,45.000000,55.191406,0.000000,2021/3/20, 22:38:05
26.900000,49.500000,45.000000,61.463867,0.000000,2021/3/20, 22:38:06
26.900000,48.855469,45.000000,58.874023,0.000000,2021/3/20, 22:38:07
26.889999,48.855469,45.000000,65.952148,0.000000,2021/3/20, 22:38:08
26.889999,49.081055,45.000000,72.289062,0.000000,2021/3/20, 22:38:09
26.889999,49.081055,45.000000,75.242188,0.000000,2021/3/20, 22:38:10
26.889999,49.113281,45.000000,79.677734,0.000000,2021/3/20, 22:38:11
26.889999,49.113281,45.000000,83.629883,0.000000,2021/3/20, 22:38:12
26.900000,48.082031,45.000000,76.399414,0.000000,2021/3/20, 22:38:13
26.889999,48.082031,45.000000,84.637695,0.000000,2021/3/20, 22:38:14
26.889999,47.469727,45.000000,80.984375,0.000000,2021/3/20, 22:38:15
26.889999,47.469727,45.000000,86.515625,0.000000,2021/3/20, 22:38:16
26.889999,47.888672,45.000000,93.593750,0.000000,2021/3/20, 22:38:17
26.900000,47.888672,45.000000,94.387695,0.000000,2021/3/20, 22:38:18
